ticker,filed_date,period_end,form,sec_revenue_to_assets,sec_net_margin,sec_operating_margin,sec_liabilities_to_assets,sec_cash_to_assets,sec_ocf_to_assets,sec_roe,sec_profitable,sec_positive_ocf
AMD,2010-08-04,2010-06-26,10-Q,,,,,0.21876892028254288,-0.015136226034308779,,0.0,0.0
AMD,2010-11-03,2010-09-25,10-Q,,,,,0.13492927094668117,-0.043307943416757345,,0.0,0.0
AMD,2011-02-18,2010-12-25,10-K,,,,,0.12207896857373086,-0.08299758259468171,,0.0,0.0
AMD,2011-05-10,2011-04-02,10-Q,,,,,0.11556920714148589,-0.03225187176041467,,0.0,0.0
AMD,2011-08-10,2011-07-02,10-Q,,,,,0.1060490045941807,0.0011485451761102604,,0.0,1.0
AMD,2011-11-09,2011-10-01,10-Q,,,,,0.1193659281894576,0.03724216959511077,,0.0,1.0
AMD,2012-02-24,2011-12-31,10-K,,,,,0.17541380702462656,0.07710940654016955,,0.0,1.0
AMD,2012-05-09,2012-03-31,10-Q,,,,,0.2391740176423416,0.02145148356054531,,0.0,1.0
AMD,2012-08-02,2012-06-30,10-Q,,,,,0.20134893870263837,0.03729418766117834,,0.0,1.0
AMD,2012-11-01,2012-09-29,10-Q,,,,,0.16825672159583693,-0.011274934952298352,,0.0,0.0
AMD,2013-02-21,2012-12-29,10-K,1.3555,-0.08723718185171524,-0.07783105864994468,,0.13725,-0.0845,-0.879182156133829,0.0,0.0
AMD,2013-05-06,2013-03-30,10-Q,0.2865420068475112,-0.13419117647058823,-0.0900735294117647,,0.11614432446668423,-0.04082170134316566,-0.35180722891566263,0.0,0.0
AMD,2013-08-01,2013-06-29,10-Q,0.2979214780600462,-0.06373815676141258,-0.024978466838931956,,0.08570695406723121,-0.04875545291249679,-0.20612813370473537,0.0,0.0
AMD,2013-10-30,2013-09-28,10-Q,0.33842946490618486,0.03285420944558522,0.0650239561943874,,0.12578179291174427,-0.039147556173268476,0.11059907834101383,1.0,0.0
AMD,2014-02-18,2013-12-28,10-K,1.2218123126585196,0.016795621815436874,0.025476505000943575,,0.20036891860733225,-0.0341249711782338,0.1636029411764706,1.0,0.0
AMD,2014-05-01,2014-03-29,10-Q,0.34006815968841286,-0.014316392269148175,0.03507516105941303,,0.13485881207400194,-0.04965920155793573,-0.03913894324853229,0.0,0.0
AMD,2014-07-31,2014-06-28,10-Q,0.3393782383419689,-0.02498265093684941,0.04371963913948647,,0.11846443711728685,-0.054639660857277436,-0.0718562874251497,0.0,0.0
AMD,2014-10-30,2014-09-27,10-Q,0.33040462427745665,0.011896431070678797,0.044086773967809655,,0.14797687861271677,-0.04947976878612717,0.03177570093457944,1.0,0.0
AMD,2015-02-19,2014-12-27,10-K,1.4616405627820548,-0.06610969851071559,-0.0599346167816927,,0.2136979028404566,-0.026015396867533847,-1.946524064171123,0.0,0.0
